Place,Time,Marking
SENDING PACKET(1),10.43,22
SENDING PACKET(0),10.45,26
IDLE(0),10.45,12
SENDING ACK(0),10.46,4
PACKET CHECK(0),10.46,8
IDLE(1),10.49,2
ACK CHECK(0),10.49,0
SENDING PACKET(1),10.51,23
IDLE(1),10.51,1
SENDING ACK(1),10.53,1
PACKET CHECK(1),10.53,0
SENDING PACKET(0),10.56,27
LOOP(Q11),10.56,5
PACKET CHECK(0),10.58,9
LOOP(Q11),10.58,6
SENDING PACKET(0),10.58,26
ACK CHECK(1),10.6,10
LOOP(Q18),10.6,3
SENDING ACK(1),10.6,0
SENDING PACKET(0),10.64,27
LOOP(Q11),10.64,5
PACKET CHECK(1),10.66,1
LOOP(Q16),10.66,2
SENDING PACKET(1),10.66,22
SENDING PACKET(1),10.7,23
IDLE(1),10.7,0
PACKET CHECK(1),10.73,2
LOOP(Q16),10.73,3
SENDING PACKET(1),10.73,22
SENDING ACK(0),10.81,5
PACKET CHECK(0),10.81,8
SENDING PACKET(0),10.86,28
IDLE(0),10.86,11
ACK CHECK(0),10.87,1
LOOP(Q13),10.87,2
SENDING ACK(0),10.87,4
SENDING PACKET(0),10.89,29
IDLE(0),10.89,10
SENDING ACK(1),10.94,1
PACKET CHECK(1),10.94,1
SENDING PACKET(0),10.96,30
LOOP(Q11),10.96,4
IDLE(0),10.96,11
ACK CHECK(1),10.97,11
LOOP(Q18),10.97,4
SENDING ACK(1),10.97,0
ACK CHECK(0),11.1,2
LOOP(Q13),11.1,3
SENDING ACK(0),11.1,3
IDLE(1),11.19,1
ACK CHECK(0),11.19,1
SENDING PACKET(1),11.2,23
LOOP(Q16),11.2,2
SENDING PACKET(0),11.23,31
IDLE(0),11.23,10
SENDING ACK(0),11.31,4
PACKET CHECK(0),11.31,7
SENDING PACKET(1),11.31,24
IDLE(1),11.31,0
SENDING PACKET(0),11.41,32
LOOP(Q13),11.41,2
IDLE(1),11.42,1
ACK CHECK(0),11.42,0
IDLE(0),11.44,11
SENDING PACKET(1),11.44,25
IDLE(1),11.44,0
SENDING PACKET(0),11.46,33
IDLE(0),11.46,10
PACKET CHECK(0),11.54,8
LOOP(Q11),11.54,5
SENDING PACKET(0),11.54,32
ACK CHECK(0),11.57,1
LOOP(Q13),11.57,3
SENDING ACK(0),11.57,3
SENDING ACK(1),11.64,1
PACKET CHECK(1),11.64,0
SENDING PACKET(1),11.65,26
SENDING PACKET(1),11.65,27
LOOP(Q18),11.65,3
PACKET CHECK(0),11.72,9
LOOP(Q11),11.72,6
SENDING PACKET(0),11.72,31
SENDING PACKET(0),11.89,32
LOOP(Q13),11.89,2
SENDING PACKET(1),11.9,28
LOOP(Q16),11.9,1
PACKET CHECK(0),11.92,10
LOOP(Q11),11.92,7
SENDING PACKET(0),11.92,31
ACK CHECK(0),11.93,2
LOOP(Q13),11.93,3
SENDING ACK(0),11.93,2
ACK CHECK(0),11.93,3
LOOP(Q13),11.93,4
SENDING ACK(0),11.93,1
SENDING PACKET(1),11.94,29
LOOP(Q16),11.94,0
ACK CHECK(1),12.03,12
LOOP(Q18),12.03,4
SENDING ACK(1),12.03,0
SENDING PACKET(0),12.04,32
IDLE(0),12.04,9
PACKET CHECK(0),12.09,11
LOOP(Q11),12.09,8
SENDING PACKET(0),12.09,31
IDLE(1),12.13,1
ACK CHECK(0),12.13,2
ACK CHECK(0),12.14,3
LOOP(Q13),12.14,5
SENDING ACK(0),12.14,0
SENDING PACKET(1),12.15,30
SENDING PACKET(1),12.15,31
LOOP(Q18),12.15,3
SENDING PACKET(0),12.2,32
LOOP(Q11),12.2,7
PACKET CHECK(1),12.25,1
LOOP(Q16),12.25,1
SENDING PACKET(1),12.25,30
PACKET CHECK(0),12.32,12
LOOP(Q11),12.32,8
SENDING PACKET(0),12.32,31
SENDING PACKET(0),12.32,32
LOOP(Q11),12.32,7
SENDING PACKET(0),12.4,33
LOOP(Q11),12.4,6
IDLE(1),12.42,2
ACK CHECK(0),12.42,2
SENDING PACKET(1),12.43,31
IDLE(1),12.43,1
IDLE(1),12.49,2
ACK CHECK(0),12.49,1
SENDING PACKET(1),12.49,32
LOOP(Q16),12.49,0
SENDING PACKET(0),12.52,34
IDLE(0),12.52,8
SENDING PACKET(1),12.6,33
SENDING PACKET(1),12.6,34
LOOP(Q18),12.6,2
SENDING PACKET(0),12.61,35
LOOP(Q13),12.61,4
PACKET CHECK(0),12.66,13
LOOP(Q11),12.66,7
SENDING PACKET(0),12.66,34
IDLE(0),12.69,9
SENDING PACKET(0),12.76,35
LOOP(Q11),12.76,6
SENDING ACK(0),12.84,1
PACKET CHECK(0),12.84,12
SENDING PACKET(0),12.85,36
LOOP(Q13),12.85,3
SENDING PACKET(1),12.85,35
SENDING PACKET(1),12.85,36
LOOP(Q18),12.85,1
PACKET CHECK(0),12.89,13
LOOP(Q11),12.89,7
SENDING PACKET(0),12.89,35
SENDING PACKET(0),12.89,36
LOOP(Q11),12.89,6
SENDING ACK(1),12.95,1
PACKET CHECK(1),12.95,0
IDLE(0),12.95,10
SENDING PACKET(1),13.0,37
IDLE(1),13.0,1
IDLE(1),13.02,2
ACK CHECK(0),13.02,0
ACK CHECK(0),13.05,1
LOOP(Q13),13.05,4
SENDING ACK(0),13.05,0
IDLE(0),13.05,11
PACKET CHECK(0),13.06,14
LOOP(Q11),13.06,7
SENDING PACKET(0),13.06,35
ACK CHECK(1),13.08,13
LOOP(Q18),13.08,2
SENDING ACK(1),13.08,0
PACKET CHECK(1),13.14,1
LOOP(Q16),13.14,1
SENDING PACKET(1),13.14,36
SENDING PACKET(1),13.18,37
LOOP(Q16),13.18,0
PACKET CHECK(0),13.19,15
LOOP(Q11),13.19,8
SENDING PACKET(0),13.19,34
PACKET CHECK(1),13.22,2
LOOP(Q16),13.22,1
SENDING PACKET(1),13.22,36
SENDING PACKET(0),13.3,35
IDLE(0),13.3,10
SENDING PACKET(1),13.3,37
SENDING PACKET(1),13.3,38
LOOP(Q18),13.3,1
SENDING ACK(0),13.33,1
PACKET CHECK(0),13.33,14
SENDING PACKET(1),13.37,39
SENDING PACKET(1),13.37,40
LOOP(Q18),13.37,0
SENDING PACKET(1),13.46,41
LOOP(Q16),13.46,0
SENDING PACKET(0),13.51,36
IDLE(0),13.51,9
PACKET CHECK(1),13.53,3
LOOP(Q16),13.53,1
SENDING PACKET(1),13.53,40
SENDING PACKET(1),13.55,41
IDLE(1),13.55,1
SENDING PACKET(0),13.65,37
LOOP(Q11),13.65,7
SENDING PACKET(0),13.66,38
LOOP(Q13),13.66,3
IDLE(0),13.68,10
IDLE(1),13.69,2
ACK CHECK(0),13.69,0
SENDING ACK(1),13.77,1
PACKET CHECK(1),13.77,2
ACK CHECK(0),13.78,1
LOOP(Q13),13.78,4
SENDING ACK(0),13.78,0
IDLE(0),13.82,11
SENDING PACKET(1),13.83,42
IDLE(1),13.83,1
SENDING PACKET(1),13.98,43
IDLE(1),13.98,0
IDLE(0),14.14,12
SENDING ACK(1),14.14,2
PACKET CHECK(1),14.14,1
PACKET CHECK(1),14.17,2
LOOP(Q16),14.17,2
SENDING PACKET(1),14.17,42
PACKET CHECK(1),14.2,3
LOOP(Q16),14.2,3
SENDING PACKET(1),14.2,41
IDLE(0),14.23,13
SENDING PACKET(0),14.32,39
LOOP(Q13),14.32,3
SENDING ACK(0),14.34,1
PACKET CHECK(0),14.34,13
ACK CHECK(0),14.46,2
LOOP(Q13),14.46,4
SENDING ACK(0),14.46,0
PACKET CHECK(0),14.56,14
LOOP(Q11),14.56,8
SENDING PACKET(0),14.56,38
SENDING ACK(1),14.65,3
PACKET CHECK(1),14.65,2
PACKET CHECK(0),14.67,15
LOOP(Q11),14.67,9
SENDING PACKET(0),14.67,37
SENDING PACKET(1),14.72,42
LOOP(Q16),14.72,2
PACKET CHECK(0),14.74,16
LOOP(Q11),14.74,10
SENDING PACKET(0),14.74,36
IDLE(1),14.76,1
ACK CHECK(0),14.76,1
PACKET CHECK(0),14.78,17
LOOP(Q11),14.78,11
SENDING PACKET(0),14.78,35
SENDING PACKET(0),14.9,36
LOOP(Q13),14.9,3
ACK CHECK(1),14.93,14
LOOP(Q18),14.93,1
SENDING ACK(1),14.93,2
IDLE(1),14.96,2
ACK CHECK(0),14.96,0
SENDING PACKET(1),14.97,43
IDLE(1),14.97,1
SENDING PACKET(1),14.99,44
IDLE(1),14.99,0
IDLE(0),15.01,14
PACKET CHECK(1),15.05,3
LOOP(Q16),15.05,3
SENDING PACKET(1),15.05,43
PACKET CHECK(0),15.06,18
LOOP(Q11),15.06,12
SENDING PACKET(0),15.06,35
ACK CHECK(1),15.1,15
LOOP(Q18),15.1,2
SENDING ACK(1),15.1,1
PACKET CHECK(1),15.14,4
LOOP(Q16),15.14,4
SENDING PACKET(1),15.14,42
PACKET CHECK(1),15.28,5
LOOP(Q16),15.28,5
SENDING PACKET(1),15.28,41
SENDING PACKET(1),15.33,42
LOOP(Q16),15.33,4
IDLE(0),15.43,15
SENDING PACKET(0),15.45,36
LOOP(Q13),15.45,2
SENDING PACKET(1),15.48,43
SENDING PACKET(1),15.48,44
LOOP(Q18),15.48,1
SENDING PACKET(0),15.55,37
LOOP(Q11),15.55,11
SENDING PACKET(0),15.64,38
LOOP(Q11),15.64,10
SENDING PACKET(0),15.65,39
LOOP(Q11),15.65,9
SENDING PACKET(0),15.68,40
LOOP(Q11),15.68,8
SENDING PACKET(0),15.74,41
LOOP(Q11),15.74,7
PACKET CHECK(0),15.92,19
LOOP(Q11),15.92,8
SENDING PACKET(0),15.92,40
SENDING PACKET(0),15.97,41
LOOP(Q11),15.97,7
SENDING PACKET(0),15.97,42
IDLE(0),15.97,14
PACKET CHECK(0),16.0,20
LOOP(Q11),16.0,8
SENDING PACKET(0),16.0,41
SENDING PACKET(0),16.0,42
LOOP(Q13),16.0,1
SENDING PACKET(0),16.01,43
LOOP(Q11),16.01,7
SENDING PACKET(0),16.03,44
LOOP(Q13),16.03,0
SENDING PACKET(0),16.05,45
IDLE(0),16.05,13
SENDING ACK(1),16.11,2
PACKET CHECK(1),16.11,4
SENDING ACK(1),16.12,3
PACKET CHECK(1),16.12,3
SENDING PACKET(1),16.14,45
LOOP(Q16),16.14,3
PACKET CHECK(0),16.16,21
LOOP(Q11),16.16,8
SENDING PACKET(0),16.16,44
SENDING PACKET(1),16.28,46
SENDING PACKET(1),16.28,47
LOOP(Q18),16.28,0
IDLE(0),16.29,14
IDLE(0),16.31,15
SENDING PACKET(0),16.4,45
